[info][8080] 2023-03-20 00:02:39 : {"route":"/chat","username":"asdasd","message":"asdasd"}
[info][8080] 2023-03-20 10:18:46 : {"route":"/chat","username":"ádasd","message":"ádasdasd"}
[info][8080] 2023-03-20 10:22:11 : {"route":"/chat","username":"ádasd","message":"ádasd"}
[info][8080] 2023-03-20 10:22:46 : {"route":"/chat","username":"Hỏi làm gì","message":"từ A đến Á"}
[info][8080] 2023-03-20 10:22:52 : {"route":"/chat","username":"Aidan","message":"Thím nào dấy"}
[info][8080] 2023-03-20 10:22:59 : {"route":"/chat","username":"Hổng nói","message":"ú òa"}
[info][8080] 2023-03-20 10:23:07 : {"route":"/chat","username":"Hỏi làm gì","message":"còn lâu mới nói"}
[info][8080] 2023-03-20 10:23:39 : {"route":"/chat","username":"Hỏi làm gì","message":"làm cái qq này phục vụ cho việc gì vậy Na đi a"}
[info][8080] 2023-03-20 10:23:41 : {"route":"/chat","username":"Aidan","message":":)) moá chat trên kia sợ bị soi quá"}
[info][8080] 2023-03-20 10:23:46 : {"route":"/chat","username":"Hổng nói","message":"=)))"}
[info][8080] 2023-03-20 10:23:47 : {"route":"/chat","username":"Aidan","message":"e tạo hẳn cái chat"}
[info][8080] 2023-03-20 10:23:50 : {"route":"/chat","username":"Hỏi làm gì","message":"à "}
[info][8080] 2023-03-20 10:23:53 : {"route":"/chat","username":"Hỏi làm gì","message":"giỏi quá "}
[info][8080] 2023-03-20 10:24:00 : {"route":"/chat","username":"Hổng nói","message":"rồi load lại là clear hết hả"}
[info][8080] 2023-03-20 10:24:06 : {"route":"/chat","username":"Aidan","message":"mất hết anh :))"}
[info][8080] 2023-03-20 10:24:12 : {"route":"/chat","username":"Aidan","message":"a ko có store data"}
[info][8080] 2023-03-20 10:24:23 : {"route":"/chat","username":"Hỏi làm gì","message":"ok vậy cũng ko sao "}
[info][8080] 2023-03-20 10:24:27 : {"route":"/chat","username":"Aidan","message":":))) "}
[info][8080] 2023-03-20 10:24:27 : {"route":"/chat","username":"Hỏi làm gì","message":"mất càng tốt"}
[info][8080] 2023-03-20 10:24:32 : {"route":"/chat","username":"Hỏi làm gì","message":"khỏi set ngày "}
[info][8080] 2023-03-20 10:24:45 : {"route":"/chat","username":"Aidan","message":"để mốt update chanel nói xấu Bê ô"}
[info][8080] 2023-03-20 10:24:46 : {"route":"/chat","username":"Hỏi làm gì","message":"tính năng reload mất hết hay đó "}
[info][8080] 2023-03-20 10:24:50 : {"route":"/chat","username":"Hỏi làm gì","message":"ủa mà "}
[info][8080] 2023-03-20 10:25:10 : {"route":"/chat","username":"Hổng nói","message":"mà cái này chỉ nhắn tin đc thoai chớ đâu có share hình gì đc pk"}
[info][8080] 2023-03-20 10:25:30 : {"route":"/chat","username":"Aidan","message":"ko anh"}
[info][8080] 2023-03-20 10:25:37 : {"route":"/chat","username":"Aidan","message":"muốn share thì e update. thôi"}
[info][8080] 2023-03-20 10:25:39 : {"route":"/chat","username":"Aidan","message":"nhanh mà"}
[info][8080] 2023-03-20 10:26:00 : {"route":"/chat","username":"Aidan","message":"mới cơ bản thôi :))"}
[info][8080] 2023-03-20 10:26:05 : {"route":"/chat","username":"Hỏi làm gì","message":"ủa "}
[info][8080] 2023-03-20 10:26:08 : {"route":"/chat","username":"Hỏi làm gì","message":"rồi nếu anh reload "}
[info][8080] 2023-03-20 10:26:19 : {"route":"/chat","username":"Hỏi làm gì","message":"thì nguyên đoạn conversation mất à"}
[info][8080] 2023-03-20 10:26:42 : {"route":"/chat","username":"Hỏi làm gì","message":"sáng DT hỏi đánh đố , bị anh 2 làm cho 1 tăng "}
[info][8080] 2023-03-20 10:28:17 : {"route":"/chat","username":"Aidan","message":":))"}
[info][8080] 2023-03-20 10:28:28 : {"route":"/chat","username":"Aidan","message":"reset là ko thấy gì luôn nha"}
[info][8080] 2023-03-20 10:28:35 : {"route":"/chat","username":"Aidan","message":"người còn ở mới thấy thôi"}
[info][8080] 2023-03-20 10:28:42 : {"route":"/chat","username":"Hổng nói","message":"đúng hỏi đánh đố thiệt"}
[info][8080] 2023-03-20 10:53:34 : {"route":"/chat","username":"lita","message":"hihi"}
[info][8080] 2023-03-20 10:53:42 : {"route":"/chat","username":"lita","message":"alo "}
[info][8080] 2023-03-20 10:54:05 : {"route":"/chat","username":"Aidan","message":"Haha"}
[info][8080] 2023-03-20 10:55:04 : {"route":"/chat","username":"lita","message":"cần bắt bug"}
[info][8080] 2023-03-20 10:55:15 : {"route":"/chat","username":"lita","message":"giao diện cần update lại"}
[info][8080] 2023-03-20 10:56:15 : {"route":"/chat","username":"Tina","message":"ú òa"}
[info][8080] 2023-03-20 10:57:23 : {"route":"/chat","username":"Aidan","message":"refresh cái anh Lita"}
[info][8080] 2023-03-20 10:58:22 : {"route":"/chat","username":"lita","message":"update"}
[info][8080] 2023-03-20 10:58:45 : {"route":"/chat","username":"Aidan","message":"Ngon ngon"}
[info][8080] 2023-03-20 10:58:48 : {"route":"/chat","username":"lita","message":"hội bàn đào có đào ko"}
[info][8080] 2023-03-20 10:58:51 : {"route":"/chat","username":"lita","message":"cho hình đào"}
[info][8080] 2023-03-20 10:58:59 : {"route":"/chat","username":"Aidan","message":":))) chưa update nha anh"}
[info][8080] 2023-03-20 10:59:44 : {"route":"/chat","username":"lita","message":"hình mấy em xinh xinh làm avata"}
[info][8080] 2023-03-20 11:00:22 : {"route":"/chat","username":"AIDAN","message":"ai nói gì thế?"}
[info][8080] 2023-03-20 11:01:49 : {"route":"/chat","username":"AIDAN","message":"Chat này phải nhắn e cấp IP nha chứ ko có online đâu :))"}
[info][8080] 2023-03-20 11:01:56 : {"route":"/chat","username":"lita","message":"hahha"}
[info][8080] 2023-03-20 11:02:06 : {"route":"/chat","username":"lita","message":"vậy ta dùng app chat khác cho nhanh"}
[info][8080] 2023-03-20 11:02:09 : {"route":"/chat","username":"lita","message":"hahah"}
[info][8080] 2023-03-20 11:02:17 : {"route":"/chat","username":"AIDAN","message":"app chat nó log data lại nha :))"}
[info][8080] 2023-03-20 11:02:22 : {"route":"/chat","username":"AIDAN","message":"e thì ko log :))"}
[info][8080] 2023-03-20 11:02:30 : {"route":"/chat","username":"AIDAN","message":"f5 cái mất luôn"}
[info][8080] 2023-03-20 11:03:21 : {"route":"/chat","username":"AIDAN","message":":))"}
[info][8080] 2023-03-20 11:03:27 : {"route":"/chat","username":"lita","message":"haha"}
[info][8080] 2023-03-20 11:03:34 : {"route":"/chat","username":"lita","message":"chat này po qua thấy liền nha"}
[info][8080] 2023-03-20 11:05:40 : {"route":"/chat","username":"AIDAN","message":"thì a tắt đi"}
[info][8080] 2023-03-20 11:05:50 : {"route":"/chat","username":"AIDAN","message":"để e update enscript"}
[info][8080] 2023-03-20 11:06:06 : {"route":"/chat","username":"AIDAN","message":"enscrypt"}
[info][8080] 2023-03-20 11:06:20 : {"route":"/chat","username":"AIDAN","message":"encrypt"}
[info][8080] 2023-03-20 11:06:27 : {"route":"/chat","username":"lita","message":"haha"}
[info][8080] 2023-03-20 11:06:32 : {"route":"/chat","username":"AIDAN","message":"moá ko sửa đc cũng khó chịu ghê ta :))))"}
[info][8080] 2023-03-20 11:06:40 : {"route":"/chat","username":"lita","message":"ancryot nữa hả"}
[info][8080] 2023-03-20 11:06:42 : {"route":"/chat","username":"AIDAN","message":"Although Socket.IO indeed uses WebSocket for transport when possible, it adds additional metadata to each packet. That is why a WebSocket client will not be able to successfully connect to a Socket.IO server, and a Socket.IO client will not be able to connect to a plain WebSocket server either."}
[info][8080] 2023-03-20 11:06:51 : {"route":"/chat","username":"lita","message":"haha"}
[info][8080] 2023-03-20 11:08:16 : {"route":"/chat","username":"AIDAN","message":":)) chat chơi thôi đợi e update"}
[info][8080] 2023-03-20 11:09:18 : {"route":"/chat","username":"AIDNA","message":"ádasdasdasda"}
[info][8080] 2023-03-20 11:15:36 : {"route":"/chat","username":"lita","message":"hay mình tạo ra app chat cạnh tranh với zalo đi"}
